Rank,Major,Degree_Type,Early_Career_Pay,Mid_Career_Pay, High_Meaning
1,Petroleum Engineering,Bachelors,98100,212100,60%
2,Operations Research & Industrial Engineering,Bachelors,101200,202600,21%
3,Electrical Engineering & Computer Science (EECS),Bachelors,128500,192300,45%
4,Interaction Design,Bachelors,77400,178800,55%
5,Building Science,Bachelors,71100,172400,46%
6,Applied Economics and Management,Bachelors,81200,169300,47%
7,Actuarial Mathematics,Bachelors,71200,167500,48%
8,Optical Science & Engineering,Bachelors,81500,166400,73%
9,Quantitative Economics,Bachelors,78400,165100,43%
10,Operations Research,Bachelors,94900,164900,56%
11,Systems Engineering,Bachelors,89700,163800,57%
12,Information & Computer Science,Bachelors,73200,162900,65%
13,Public Accounting,Bachelors,71500,162200,47%
14,Cognitive Science,Bachelors,80300,162100,43%
15,Aeronautics & Astronautics,Bachelors,89800,161600,60%
16,Aerospace Studies,Bachelors,64500,158400,-
17,Pharmacy,Bachelors,71500,158000,80%
18,Managerial Economics,Bachelors,78200,157800,38%
19,Foreign Affairs,Bachelors,65200,157700,32%
20,Political Economy,Bachelors,75800,156700,30%
21,Chemical Engineering,Bachelors,87700,156100,54%
21,Marine Transportation Management,Bachelors,78500,156100,-
23,Computer Science (CS) & Engineering,Bachelors,93500,154100,44%
24,Corporate Accounting & Finance,Bachelors,79100,154000,-
25,Computer Engineering (CE),Bachelors,92000,153800,46%
26,Electrical Power Engineering,Bachelors,87200,152700,71%
27,Marine Engineering,Bachelors,89400,151800,54%
28,Electrical & Computer Engineering (ECE),Bachelors,91100,151300,48%
29,Econometrics,Bachelors,74200,150900,35%
30,Actuarial Science,Bachelors,78500,150000,41%
30,Astronomy,Bachelors,77000,150000,52%
32,Mechatronics,Bachelors,83300,148600,46%
33,Computational & Applied Mathematics,Bachelors,88200,148200,46%
33,Construction Engineering Management,Bachelors,81700,148200,52%
35,Aeronautical Engineering,Bachelors,86500,147200,64%
35,Electrical Engineering (EE),Bachelors,87500,147200,53%
37,Naval Architecture & Marine Engineering,Bachelors,85300,147000,51%
38,Instrumentation & Control Engineering,Bachelors,83800,146600,45%
38,Ocean Engineering (OE),Bachelors,80300,146600,49%
40,Electrical & Electronics Engineering (EEE),Bachelors,86300,146400,56%
41,Quantitative Business Analysis,Bachelors,86300,145000,36%
42,Computer Science (CS) & Mathematics,Bachelors,82800,144900,46%
43,Engineering Physics,Bachelors,80900,144500,49%
44,Bioscience,Bachelors,61700,144400,-
45,Computer Science (CS),Bachelors,88400,143900,42%
46,Jazz Studies,Bachelors,63800,143600,52%
47,Aeronautical/Aerospace Engineering Technology,Bachelors,84500,142500,48%
48,Bioengineering (BioE),Bachelors,81900,142100,66%
49,Management Science,Bachelors,75500,141900,42%
50,Aerospace Engineering,Bachelors,85900,141800,53%
51,Information Management,Bachelors,71000,141400,35%
52,Metallurgical Engineering,Bachelors,93200,141300,64%
53,Applied Mathematics,Bachelors,79900,141100,40%
53,Operations Management & Information Systems,Bachelors,78400,141100,41%
55,Chemical & Biomolecular Engineering,Bachelors,88300,140900,52%
56,Mechanical & Aeronautical Engineering,Bachelors,84200,140600,63%
57,Materials Science,Bachelors,79000,140200,-
58,Engineering,Bachelors,80000,140000,58%
59,Energy Management,Bachelors,69700,139900,70%
60,Industrial & Systems Engineering,Bachelors,84500,139600,48%
61,Materials Science & Engineering,Bachelors,83700,139300,46%
62,Biomedical Engineering (BME),Bachelors,83000,139000,71%
63,Welding Engineering,Bachelors,89200,138700,-
64,Mining Engineering,Bachelors,87400,138600,57%
65,Engineering Science,Bachelors,79300,138500,48%
65,Industrial Hygiene,Bachelors,66700,138500,55%
65,Nuclear Engineering,Bachelors,86900,138500,57%
68,Paper Science,Bachelors,87400,138000,43%
69,Industrial Engineering (IE),Bachelors,83000,137800,44%
70,Robotics & Automation,Bachelors,74700,137700,68%
70,Physics,Bachelors,77900,137700,49%
72,Integrated Science & Technology,Bachelors,73700,137300,54%
73,Business Analysis,Bachelors,73100,137000,47%
74,Business & Economics,Bachelors,69000,136700,43%
74,Economics and Mathematics,Bachelors,79800,136700,38%
76,Software Engineering,Bachelors,86800,136600,45%
77,Computer & Information Science,Bachelors,78500,135600,57%
78,Global & International Studies,Bachelors,62300,135100,55%
79,Entrepreneurship & Marketing,Bachelors,66100,134800,48%
80,International Economics,Bachelors,66200,134500,53%
80,Materials Engineering,Bachelors,83700,134500,59%
82,Economics,Bachelors,72900,134200,41%
82,Environmental Health & Safety Management,Bachelors,69500,134200,60%
84,Interactive Media Design,Bachelors,62400,134100,33%
85,Mechanical Engineering (ME),Bachelors,82000,133700,49%
