University,Department,Overall_Pay,LW_Ratio,Academic_Year,Program_Year,12_M_Gross_Pay,9_M_Gross_Pay,3_M_Gross_Pay,Fees
Aarhus University,Civil and Architectural Engineering,58460,,2020-2021,2nd,58460,,,
Aarhus University,Department of Clinical Medicine,63700,,2018-2019,,63700,,,
Albany Medical College,Neuroscience,28000,1.23,2020-2021,1st,28000,,,
Albany Medical College,,28000,1.23,2018-2019,1st,28000,,,
Albany Medical College,Immunology and Microbial Disease,30000,1.32,2018-2019,1st,30000,,,
Albany Medical College,Cancer Biology,24000,1.05,2017-2018,1st,24000,,,
Albany Medical College,Immunology and Microbiology,24000,1.05,2016-2017,1st,24000,,,
Albert Einstein College of Medicine,Biomedical Sciences,45000,,2023-2024,1st,45000,,,
Albert Einstein College of Medicine,Biomedical Sciences,38000,,2020-2021,1st,38000,,,
Albert Einstein College of Medicine,Biomedical Sciences,38000,,2020-2021,2nd,38000,,,
Albert Einstein College of Medicine,Biomedical Science,38000,,2020-2021,1st,38000,,,
Albert Einstein College of Medicine,Neuroscience,35000,,2018-2019,1st,35000,,,
Albert Einstein College of Medicine,Neuroscience,33000,,2016-2017,4th,33000,,,
Albert Einstein College of Medicine,PhD in Biomedical Sciences,33000,,2016-2017,3rd,33000,,,
Albert Einstein College of Medicine,Biomedical Sciences,33000,,2015-2016,1st,33000,,,
Alfred University - New York State College of Ceramics,Engineering,17000,0.83,2022-2023,1st,17000,,,
Alfred University - New York State College of Ceramics,Engineering,17000,0.83,2016-2017,,17000,,,
Alfred University - New York State College of Ceramics,School of Engineegin / Ceramic Engineering,17500,0.85,2016-2017,,17500,,,
Alliant International University - San Francisco Bay,Computer Science,2500,0.08,2022-2023,,3000,,,500
American University (AU),School of International Service International Relations (PhD),24650,0.8,2022-2023,1st,,25000,,350
American University (AU),School of International Service,25,0,2022-2023,,25,,,
American University (AU),Public administartion,23000,0.75,2020-2021,1st,23000,,,
American University (AU),Masters in Public Policy ,9600,0.31,2022-2023,,,9600,,
American University (AU),History,22670,0.73,2022-2023,1st,,23000,,330
American University (AU),Clinical Psychology,21543,0.7,2021-2022,4th,,22000,,457
American University (AU),Psychology,23000,0.75,2020-2021,,,23000,,
American University (AU),Economics,23000,0.75,2021-2022,1st,23000,,,
American University (AU),History,30000,,2020-2021,1st,30000,,,
American University (AU),History,23500,0.76,2020-2021,1st,23500,,,
American University (AU),Economics,22875,0.74,2020-2021,4th,,23000,,125
American University (AU),Communication ,22000,0.71,2019-2020,,,22000,,
American University (AU),Communication ,22000,0.71,2019-2020,,,22000,,
American University (AU),Public Admin/Policy,21461,0.7,2019-2020,4th,,22000,,539
American University (AU),Political Science,27000,0.87,2019-2020,2nd,,22000,5000,
American University (AU),Behavior cognition and neuroscience ,21650,0.7,2018-2019,,,22000,,350
American University (AU),School of Public Affairs,21600,0.7,2018-2019,1st,,22000,,400
American University (AU),School of Public Affairs,21600,0.7,2018-2019,1st,,22000,,400
American University (AU),Behavior Cognition and Neuroscience,19435,0.63,2016-2017,4th,,20000,,565
American University (AU),Political Science,20000,0.65,2016-2017,1st,,20000,,
andhra university,instrumentation,250000,,2019-2020,1st,300000,,,50000
